BodyName,Ad,Ag,Al,Ar,Au,Be,C6Hn,Cl,Co,Cs,Cu,Dy,Eu,F,Fe,H2O,He-3,Hg,HnCn,Ie,IL,Ir,Li,Nd,Ne,Ni,Pb,Pd,Pt,Pu,R-COC,Rc,Sb,SiH3Cl,Ta,Ti,Tsn,U,V,Vr,Vy,W,Xe,xF4,Yb
Frost,,,,,,,,,,,,,,,,X,X,,,,,,,,,,X,,,,,,,,,,,,,,,,,,
Akila,,,X,X,,,X,,X,,,,,,,X,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,
Antharum,,,X,,,X,,,,,,,,,,,X,,,,,,,X,,,,,,,,,,,,,,,,,,,,,
Bindi,,X,X,,,,,,,,,,,,,,X,,,,,,,,,X,X,,,,,,,,,,,X,,,,,,,
Codos,,,X,X,,X,,X,,,,,,,X,X,,,X,,,,,,,,,,,,X,,,,,,,,,,,,,,
Skink,,X,,,,,,,X,,X,,,X,,X,,X,,,,,,,,X,X,,,,,,,,,,,,,,,,,,
Burran,,,,,,,,,,,,,,,X,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rell,,,X,,,X,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grizzit,,,X,,,X,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Washakie,,X,,X,,,X,,,,,,,,,X,,,,,,,,,X,,X,,,,,,,,,,,X,,,,,,,
Smet,,,X,,,X,,,,,,,X,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Montara,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Montara Luna,,,X,X,,,X,X,X,,,,,,,X,,,,,,,,,,X,,,,,X,,,,,,,,,,,,,,
Heilo,,,,,,,,,,,,,,,,X,,,,,,,,,,,X,,,,,,,,,X,,,,,,X,,,
Kalira,,,,,X,,,,,,X,,,X,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thren,,,,,,,,,,,,,,,,X,,,,,,,,,,,X,,,,,,,,,,,,,,,X,,,
Wellish,,,,,,,,,,,X,,,,,X,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,
Agamon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Agamon A,,,,X,,,,,,,X,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Agamon B,,,,,,,,,,,X,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Agamon C,,,,X,,,X,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Agamon D,,,,,,,,,,,X,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stellis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stellis A,,,,,X,,,,X,,X,,,,,X,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,
Stellis B,,,,,,,,X,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stellis C,,,,,,,,,X,,,,,,,X,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,
Stellis D,,,,,,,,,X,,,,,,,X,,,,,,,,,,X,,X,X,,,,,,,,,,,,,,,,
Fenn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tahrnis,,,,,,,,,,,X,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cragg,,X,,,,,,,,,X,,,,X,X,,,,,,,,,,,X,,,,,,,,,,,,,,,,,X,
Navaha,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hardpoint,,,X,,,,,,,,X,,,X,X,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,X
Belwah,,,,X,,,,,X,,,,,,X,X,,,,,,X,,,,X,,,,,,,,,,,,X,X,,,,,,
Laramie,,,,,,,,X,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Olaran,,,,X,,,X,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bismark,,,,,,,,,X,,,,,,,X,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,
Maheo I,,X,,X,,,X,X,X,,,,,,,X,,,,,,,,,,X,X,,,,,,,,,,,,,,,,,,
Maheo II,,,,,,,,,,,X,,,,X,X,X,,X,,,,,,,,X,,,,,,,,,,,,,,,,,X,X
Maheo III,,,X,,,X,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maheo III-a,,,X,,,X,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maheo III-b,,,X,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maheo IV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maheo IV-a,,,,,X,,,,,,X,,,X,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maheo IV-b,,,,X,,,,,,,,,,,,X,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Maheo IV-c,,,X,X,,,X,X,,,,,,,,X,,,,,,,,X,,,,,,,X,,,,,,,,,,,,,,
Maheo IV-d,,,,,,,,X,,,,,,,,X,,,,,,,X,,,,,,,,,,,X,,,,,,,,,,,
Maheo V,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maheo V-a,,,,,,,,,,,X,,,X,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,
Maheo VI,,,X,,,X,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maheo VI-a,,,,,,,,,,,,,,,X,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maheo VII,,,,,,,,,,,X,,,X,,X,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,
Maheo VII-a,,,,,,,,X,,,,,,,,X,,,,,,,X,,,,,,,,,,,X,,,,,,,,,,,
Anselon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kreet,,X,,X,,,,,,,,,,,X,X,X,,X,,,,,,X,,X,,,,,,,,,,,,,,,,,,
Vectera,,,,X,,,,,,,,,,,X,X,,,X,,,,,,,,X,,,,,,,,,,,,,,,,,,
Magreth,,,X,,,,,,,,,,,,,,X,,,,,,,,,,X,,,,,,,,,,,,,,,,,,
Hyperia,,,X,,,X,,,,,,,,,,,X,,,,,,,X,,,,,,,,,,,,,,,,,,,,,
Sumati,,,,,,,,X,,,X,,,X,,X,,,,,,,,,,,X,,,,,,,X,,,,,,,,,,X,
Andraphon,,,X,,,X,,,,,,,X,,X,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Niira,,,,X,,,X,X,,,X,,,X,,X,,,,,X,,,,,X,,,,,,,,,,,,,,,,,,,
Danra,,,X,,,,,,,,,,,,,,X,,,,,X,,,,,,,,,,,,,,,,X,,,,,,,
Podius,,,,,,,,,,,,,,,X,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gryphus,,,X,,,,,,,,,,X,,,,X,,,,,,,X,,,,,,,,,,,,,,,,,,,,,
Dalvik,,,,,,,,X,,X,,,,,,X,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,
Deepala,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grimsey,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,X,,,,,,,,X,X,,,,,,
Mercury,,,X,,,,,,,,,,,,,,X,,,,,,,X,,,,,,,,,,,,,,,,,,,,,
Venus,,,,,,,,,X,,,X,,,,X,,,,,,,,,,X,X,,,,,,,,,,,,,,,,,,
Earth,,,,,,,,X,,,,,,,,X,,X,,,,,,,,,X,,,,,,,X,,,,,,,,,,,
Luna,,,,,,,,,,,,,,,X,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mars,,,,,,,,X,,,,,,,,X,,,,,,,,,,,X,,,,,,,X,,,,,,,,,,,
Deimos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phobos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jupiter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Europa,,,,,,,,X,,,,,,,,X,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,
Callisto,,,,,,,,,,,,,,,X,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Io,,,,,,,,,,,,,,,X,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ganymede,,,,,,,,X,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saturn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rhea,,,,,,,,,,,X,,,X,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Enceladus,,,,X,,,X,,,,,,,,,X,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,
Iapetus,,,,X,,,X,,,,,,,,,X,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,
Dione,,X,,,,,,,,,,,,,,X,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,
Mimas,,,,,,,,,,,,,,,,X,,,,,,,,,,X,,X,,,,,,,,,,,,,,,,,
Titan,,,,,,,,,,,,,,,,X,,,,,,,,,,,X,,,,,,,,,X,,,,,,X,,,
Tethys,,,,,,,,,,,,,,,,X,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,
Uranus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oberon,,,,,,,,,,,,,,,,X,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,
Ariel,,,,,,,,,,,X,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Titania,,,,,,,,,,,X,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Miranda,,,,,,,,,,,,,,,,X,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,
Umbriel,,,,X,,,,,,,,,,,,X,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,
Neptune,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Triton,,,,,,,,,X,,,,,,,X,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,
Pluto,,,,,,,,,,,,,,,,X,,,,,,,,,,,X,,,,,,,,,X,,,,,,X,,,
Charon,,,,,,,,,,,X,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jemison,,,,X,,,,X,,,,,,,,X,,,,,,,,,,,X,,,,,,,X,,,,,,,,,,,
Kurtz,,,X,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bondar,,,,,,,,X,,,,,,,,,,,,,,,,,,X,X,,X,,,,,,,,,,,,,X,X,,
Curbeam,,,X,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grissom,,,,,,,,,,,,,,,X,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Olivas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lovell,,,,,,,,,X,,,,,,,X,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,
Voss,,,,,,,,,X,,,X,,,,X,,,,,,,,,,X,X,,,,,,,,,,,X,X,,,X,,,
Chawla,,,,X,,,X,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zamka,,,,,,,,,X,,X,,,,X,X,X,,,,,,,,,X,,,,,,,,,,,,X,X,,,,,,
Hawley,,,,,,,,,X,,,,,,,X,,,,,,,,,,X,X,,,,,,,,,,,X,,,,,,,
Gagarin,,,,,,,,X,,,,,,,,X,,,,,,,,,,,X,,,,,,,X,,,,,,,,,,,
Luyten's Rock,,,,X,,,,X,,,,,,,X,X,X,,X,,,,X,,,,,,,,,,,,X,,,,,,,,,,
Procyon-B I,,,X,,,,,,,,,,,,,,X,,,,,,,X,,,,,,,,,,,,,,,,,,,,,
Sirius I,,,,,,,,,,,,,,,X,,X,,X,,,,,,,,,,,,,,,,,,,,,,,,,,
Sirius II,,,,,,,,X,,,,,,,,X,,,,,,X,X,,,X,,,,,,,,X,,,,X,,,,,X,,
Sirius II-a,,,,X,,,X,,,,,,,,X,X,X,,,,,,,,,,,,,,,,,,,,,X,,,,,,,
Sirius III,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sirius III-a,,,X,,,,,X,,,X,,,X,,X,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,
Sirius III-b,,,,,,,,X,,,,,,,,X,,,,,,,X,,,,,,,,,,,X,,,,,,,,,,,
Toliman I,,,X,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Toliman II,,X,,X,,,X,,,,,,,,,X,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,
Toliman II-a,,,X,,,X,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Toliman II-b,,,X,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Toliman II-c,,,X,,,X,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Polvo,,,,X,,,X,,,,,,,,,X,,,,,,X,,,,X,,,,,,,,,,,,X,X,,,,,,
Miatha,,,X,,,,,,,,,,,,,,X,,,,,,,X,,,,,,,,,,,,,,,,,,,,,
Navacci,,,X,,,,,,,,,,X,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cantra,,,X,,,X,,,,,,,,,,,X,,,,,,,X,,,,,,,,,,,,,,,,,,,,,
Prax,,,X,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hillex,,,X,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lumos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Golga,,,X,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kindi,,,X,,,X,,,,,,,,,,,X,,,,,,,X,,,,,,,,,,,,,,,,,,,,,
Shorun,,,,,,,,X,,,,,,,,X,,,,,,,X,,,,,,,,,,,X,,,,,,,,,,,
Virum,,,,,,,,,X,,,,,,,X,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,
Volii Alpha,,,,,,,X,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Volii Beta,,,X,,,X,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Volii Delta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Volii Chi,,,,,,,,,,,,,,,,X,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,
Volii Epsilon,,,,,,,,X,,,X,,,X,,X,,,,,X,,,,,,X,,,,,,,X,,,,,,,,,,,
Volii Gamma,,,,,,,,,,,,,,,X,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Volii Omega,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Volii Upsilon,,,,,,,,,,,X,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Volii Tau,,,,,,,,,,,,,,,X,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Volii Psi,,,,,,,,,,,,,,,X,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Volii Phi,,,X,,,,,,,,,,,,,,X,,,,,,,X,,,,,,,,,,,,,,,,,,,,,
Etherea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pontem,,X,,,,,,,,,,,,,,X,,X,,,,,,,,,X,,,,,,,,,,,,,,,,,,
Chthonia,,,X,,,X,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bessel I,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bessel II,,,X,,,X,,,,,,,,,,,X,,,,,,,X,,,,,,,,,,,,,,,,,,,,,
Bessel III,,,X,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bessel III-a,,,X,,,X,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bessel III-b,,,X,X,,,,,X,,,,,,X,X,,,,,,,,,X,X,,,X,,,,,,,,,,,,,,,,
Carinae I,,,X,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Carinae II,,,X,X,,,,,,,,,,,,X,X,,,,,,,X,X,,,,,,,,,,,,,,,,,,,,
Carinae II-a,,,X,,,X,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Carinae III,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Carinae III-a,,,,,,,,,,,,,,,X,X,,,X,,,,,,,,X,,,,,X,,,,,,,,,,,,,
Carinae III-b,,,,,,,,,,,,,,,,X,,X,,,,,,,,,X,,,,,,,,,,,,,,,,,,
Carinae III-c,,,,,,,,,,,,,,,,X,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,
Carinae III-d,,,,X,,,X,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Carinae IV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Carinae IV-a,,,,,,,,,,,X,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Carinae V,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Carinae V-a,,,,,,,,,,,X,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,
